threshold,summary_floor,chunk_n,merge_n,floor_applied_n,Chunk_num_mean,Text_len_mean,Text_len_std,Summary_len_mean,Summary_len_std,Red_mean,Red_std,FirmRed_mean,FirmRed_std,loss,chunk_n_diff
2500,90,8551,355,613,17.003976143141152,3950.8473862706114,361.3499918214562,137.0076014501228,38.27599450147174,30.350407372484046,6.515513662711186,28.837658875260615,2.098832202297157,0.09324887531153632,-132
900,60,8790,116,84,17.397042093287826,3843.423890784983,413.06415699108265,132.19112627986348,30.407328605669928,30.755724155031093,8.746998757364334,29.078609149323935,2.255622972838801,0.09416142749887457,107
1000,70,8772,134,204,17.37140902872777,3851.310533515732,395.10497806304,132.63554491564068,30.60685165190757,30.627814774151336,8.166504147562005,29.04070479428819,2.224922317513484,0.0944429559608265,89
800,0,8801,105,0,17.421997500284057,3838.6201568003635,425.0109804977481,131.97136689012612,30.26416044308153,30.810197898382178,9.11138648951606,29.089823721294763,2.265208557371326,0.09467415873721327,118
800,30,8801,105,0,17.421997500284057,3838.6201568003635,425.0109804977481,131.97136689012612,30.26416044308153,30.810197898382178,9.11138648951606,29.089823721294763,2.265208557371326,0.09467415873721327,118
2100,90,8614,292,613,17.11585790573485,3921.9521708846064,331.6108099575002,136.0055723241235,35.507044796471284,30.285334747525116,6.578212327533106,28.837658875260615,2.098832202297157,0.09553176142867481,-69
800,50,8801,105,12,17.421997500284057,3838.6201568003635,425.0109804977481,131.97863879104648,30.243395191972223,30.796100125966863,9.021723205973194,29.088519803420137,2.264135526772826,0.0955655279447017,118
2000,90,8624,282,613,17.12708719851577,3917.404452690167,329.95161373925765,135.847866419295,35.05381360375468,30.273891862519772,6.5897607406102185,28.837658875260615,2.098832202297157,0.0966801419112208,-59
1200,80,8748,158,388,17.33081847279378,3861.8765432098767,373.922188097229,133.34407864654779,30.795642433959763,30.427741704920628,7.469696041989919,28.9647397516008,2.1736110626435776,0.0967250514091775,65
1600,90,8699,207,614,17.253822278422806,3883.6298425106334,342.09510780443804,134.67685940912747,32.07643609511037,30.188314164639824,6.69703487875499,28.837613793918056,2.0988096267548224,0.09705610632494774,16
