sec_code,sec_name,year,raw_glm4_tokens,compact_glm4_tokens,norm_glm4_tokens,compact_chars
688458,美芯晟,2023,57109,47560,57109,82726
688575,亚辉龙,2021,114233,91710,114233,158400
688314,康拓医疗,2021,51868,41670,51868,70953
688660,电气风电,2021,89975,73305,89975,124456
688076,诺泰生物,2021,115953,97425,115953,163701
688613,奥精医疗,2021,70083,57731,70083,99355
688359,三孚新科,2021,62781,51758,62781,85036
688538,和辉光电,2021,84673,69472,84673,122738
688117,圣诺生物,2021,85214,71606,85214,121155
688319,欧林生物,2021,86873,73022,86873,123445
688625,呈和科技,2021,55479,46175,55479,77916
688131,皓元医药,2021,110638,92322,110638,159319
688269,凯立新材,2021,78217,64248,78217,106857
688345,博力威,2021,72852,60484,72852,101390
688681,科汇股份,2021,60635,50581,60635,87016
688067,爱威科技,2021,74428,58504,74428,99767
688700,东威科技,2021,40880,34294,40880,56646
688597,煜邦电力,2021,84549,67788,84549,113637
688517,金冠电气,2021,72372,59420,72372,97740
688425,铁建重工,2021,112726,93749,112726,154440
688621,阳光诺和,2021,58645,49454,58645,86800
688216,气派科技,2021,82263,66191,82263,111358
688690,纳微科技,2021,47988,39386,47988,67771
688276,百克生物,2021,61841,50286,61841,84987
688601,力芯微,2021,39607,32954,39607,57749
688367,工大高科,2021,71019,55247,71019,94893
688161,威高骨科,2021,94631,74685,94631,125286
688499,利元亨,2021,57140,45255,57140,78327
688239,航宇科技,2021,84945,69222,84945,118479
688226,威腾电气,2021,99216,80523,99216,132818
688087,英科再生,2021,63022,51893,63022,88295
688789,宏华数科,2021,57021,46400,57021,79477
688305,科德数控,2021,87658,69988,87658,115393
688038,中科通达,2021,69290,57505,69290,100658
688799,华纳药厂,2021,135458,109852,135458,175135
688793,倍轻松,2021,80576,61493,80576,106155
688501,青达环保,2021,76613,62443,76613,102736
688800,瑞可达,2021,64252,52304,64252,89342
688303,大全能源,2021,65333,53837,65333,90389
688768,容知日新,2021,67921,55442,67921,96934
688296,和达科技,2021,69955,58115,69955,101533
688718,唯赛勃,2021,74271,60817,74271,103080
688071,华依科技,2021,76331,63099,76331,112606
688509,正元地信,2021,80390,66464,80390,119290
688511,天微电子,2021,70494,59022,70494,103295
688670,金迪克,2021,58773,48652,58773,81700
688385,复旦微电,2021,83264,70276,83264,124421
688778,厦钨新能,2021,68816,55520,68816,91834
688148,芳源股份,2021,55117,45624,55117,75429
688779,长远锂科,2021,72657,59055,72657,99109
688787,海天瑞声,2021,106754,87872,106754,154281
688798,艾为电子,2021,53573,43969,53573,77235
688733,壹石通,2021,58742,49146,58742,83436
688728,格科微,2021,67919,55383,67919,98601
688766,普冉股份,2021,63600,53545,63600,95795
688786,悦安新材,2021,64812,52628,64812,86465
688776,国光电气,2021,50334,40978,50334,69080
688711,宏微科技,2021,64528,51551,64528,88458
688121,卓然股份,2021,69856,55721,69856,91715
688187,时代电气,2021,79616,65065,79616,112290
688091,上海谊众,2021,46510,39284,46510,63772
688767,博拓生物,2021,85273,70777,85273,124003
688103,国力股份,2021,73265,60436,73265,102890
688622,禾信仪器,2021,80787,64766,80787,109932
688707,振华新材,2021,72424,61147,72424,100339
688701,卓锦股份,2021,80599,65807,80599,113189
