custom_id,sec_code,chunk_index,chunk_count,chunk_token_proxy,glm4_tokens,compact_chars
688035_1214586526_tok_chunk_0008,688035,8,10,3913.0,6361,7826
688035_1214586526_tok_chunk_0009,688035,9,10,3968.0,6082,7935
688035_1214586526_tok_chunk_0010,688035,10,10,954.0,1177,1907
688036_1206947132_tok_chunk_0001,688036,1,19,3962.0,4955,7924
688036_1206947132_tok_chunk_0002,688036,2,19,3862.0,5254,7724
688036_1206947132_tok_chunk_0003,688036,3,19,3958.0,5385,7916
688036_1206947132_tok_chunk_0004,688036,4,19,3924.0,5258,7847
688036_1206947132_tok_chunk_0005,688036,5,19,3940.0,4765,7880
688036_1206947132_tok_chunk_0006,688036,6,19,3892.0,5274,7784
688036_1206947132_tok_chunk_0007,688036,7,19,3937.0,4635,7873
688036_1206947132_tok_chunk_0008,688036,8,19,4000.0,5618,8000
688036_1206947132_tok_chunk_0009,688036,9,19,3991.0,5267,7982
688036_1206947132_tok_chunk_0010,688036,10,19,3979.0,6108,7958
688036_1206947132_tok_chunk_0011,688036,11,19,3746.0,5422,7491
688036_1206947132_tok_chunk_0012,688036,12,19,3687.0,4866,7373
688036_1206947132_tok_chunk_0013,688036,13,19,3593.0,5683,7185
688036_1206947132_tok_chunk_0014,688036,14,19,3943.0,5633,7885
688036_1206947132_tok_chunk_0015,688036,15,19,3852.0,5609,7703
688036_1206947132_tok_chunk_0016,688036,16,19,3828.0,5725,7655
688036_1206947132_tok_chunk_0017,688036,17,19,3930.0,5590,7859
688036_1206947132_tok_chunk_0018,688036,18,19,3926.0,5521,7852
688036_1206947132_tok_chunk_0019,688036,19,19,2748.0,3619,5495
688037_1207150125_tok_chunk_0001,688037,1,10,3999.0,5563,7997
688037_1207150125_tok_chunk_0002,688037,2,10,3928.0,4955,7856
688037_1207150125_tok_chunk_0003,688037,3,10,3983.0,5280,7966
688037_1207150125_tok_chunk_0004,688037,4,10,3962.0,5320,7923
688037_1207150125_tok_chunk_0005,688037,5,10,3920.0,5610,7839
688037_1207150125_tok_chunk_0006,688037,6,10,3995.0,5242,7989
688037_1207150125_tok_chunk_0007,688037,7,10,3949.0,6119,7897
688037_1207150125_tok_chunk_0008,688037,8,10,3803.0,6631,7606
688037_1207150125_tok_chunk_0009,688037,9,10,3902.0,6505,7803
