sec_code,sec_name,year,raw_glm4_tokens,dewrap_join_glm4_tokens,dewrap_space_glm4_tokens,dewrap_join_compact_chars
688308,欧科亿,2020,58983,51885,55079,74278
688510,航亚科技,2020,61808,54407,58158,86089
688608,恒玄科技,2020,41928,37326,39209,59423
688699,明微电子,2020,58003,51557,54282,79381
688668,鼎通科技,2020,49275,43584,46271,67984
688678,福立旺,2020,23607,21322,22601,34181
688560,明冠新材,2020,57073,50499,53427,74293
688658,悦康药业,2020,90863,78882,84136,115743
688679,通源环境,2020,47682,41618,44586,64755
688063,派能科技,2020,64669,57214,61257,89565
688698,伟创电气,2020,67765,59615,63331,89579
688618,三旺通信,2020,66617,58308,62174,92674
688686,奥普特,2020,57709,51156,54730,80132
688617,惠泰医疗,2021,107060,92326,98164,135955
688656,浩欧博,2021,65516,56569,60742,87471
688819,天能股份,2021,48373,42494,45352,67304
688317,之江生物,2021,114994,100917,107158,159406
688669,聚石化学,2021,70476,60641,65162,87951
688680,海优新材,2021,50213,45611,48195,67284
688689,银河微电,2021,76418,68395,72266,99023
688350,富淼科技,2021,73813,64840,69432,100556
688628,优利德,2021,115381,104676,108981,155437
688607,康众医疗,2021,63771,56733,60024,90986
688687,凯因科技,2021,83895,75395,79477,114964
688059,华锐精密,2021,48631,42710,45467,63133
688070,纵横股份,2021,86836,78154,83038,124251
688665,四方光电,2021,83341,75023,78054,114444
688619,罗普特,2021,101842,85293,92947,133634
688183,生益电子,2021,97906,90297,92787,135637
688677,海泰新光,2021,60967,53447,57011,84511
688079,美迪凯,2021,52308,46112,48516,72065
688696,极米科技,2021,91459,81193,86053,116743
688328,深科达,2021,66594,59541,61745,87667
688676,金盘科技,2021,84168,74717,79425,115781
688667,菱电电控,2021,70529,61276,65432,95076
688083,中望软件,2021,92422,80907,85729,128097
688316,青云科技,2021,84425,75107,79474,119834
688456,有研粉材,2021,66261,57543,61584,86892
688616,西力科技,2021,61753,54167,57652,80151
688092,爱科科技,2021,71377,63032,66795,99303
688609,九联科技,2021,122207,108032,114829,168907
688329,艾隆科技,2021,37907,33699,35131,50616
688606,奥泰生物,2021,77507,67990,72612,107662
688633,星球石墨,2021,47686,41501,44536,62402
688195,腾景科技,2021,58188,50986,54153,76934
688661,和林微纳,2021,57210,50400,53500,79547
688109,品茗股份,2021,66473,58269,62017,92494
688626,翔宇医疗,2021,90888,78105,84321,118811
688659,元琛科技,2021,67176,58816,62878,88421
688260,昀冢科技,2021,74096,64760,69296,99745
688630,芯碁微装,2021,59021,51691,54826,81225
688662,富信科技,2021,78024,68977,73151,105459
688191,智洋创新,2021,77274,67669,72584,103151
688636,智明达,2021,88849,77644,83045,120027
688468,科美诊断,2021,73941,64079,68132,95381
688611,杭州柯林,2021,53122,45549,49554,71606
688683,莱尔科技,2021,69981,62322,65496,90376
688315,诺禾致源,2021,67163,59158,62525,91950
688663,新风光,2021,57862,50338,53851,77485
688533,上声电子,2021,51128,45076,48156,69272
688201,信安世纪,2021,69938,61587,65220,97840
688682,霍莱沃,2021,50039,43910,46556,68601
688639,华恒生物,2021,58260,51089,54689,79903
688323,瑞华泰,2021,40752,36121,38356,53974
688383,新益昌,2021,64596,56682,60233,85328
688395,正弦电气,2021,43267,38997,41294,60116
688113,联测科技,2021,65175,57482,61934,89200
688655,迅捷兴,2021,73256,65141,69077,95843
688097,博众精工,2021,86501,76438,81316,125427
688355,明志科技,2021,76063,68021,72214,100973
688685,迈信林,2021,50667,44859,47666,69770
688565,力源科技,2021,59943,51720,55359,80064
688217,睿昂基因,2021,73176,59627,62115,89623
688234,天岳先进,2022,38762,34806,36689,52596
688259,创耀科技,2022,75601,66980,71206,107714
688062,迈威生物,2022,81910,72945,76819,110384
688220,翱捷科技,2022,73124,65847,70223,101282
688173,希荻微,2022,62341,54954,58227,87465
688223,晶科能源,2022,66793,60181,63456,95852
688171,纬德信息,2022,56316,48362,51976,76835
688270,臻镭科技,2022,53214,46289,49709,70599
688225,亚信安全,2022,65196,58342,61662,94035
688261,东微半导,2022,47611,42782,44892,66535
688283,坤恒顺维,2022,57946,50750,54268,78056
688267,中触媒,2022,56317,50373,53648,80255
688281,华秦科技,2022,54574,48252,51180,78445
688163,赛伦生物,2022,64531,57469,60838,88488
688115,思林杰,2022,58820,51376,54840,82177
688175,高凌信息,2022,81796,71712,75981,114620
688102,斯瑞新材,2022,67750,60641,63572,87808
688207,格灵深瞳,2022,39611,34328,36926,56549
688150,莱特光电,2022,70153,62032,65323,94009
688282,理工导航,2022,59232,51761,55259,81228
688238,和元生物,2022,53040,46166,49053,72972
688306,均普智能,2022,66856,59086,62752,95996
688197,首药控股,2022,56289,48913,52073,74707
688193,仁度生物,2022,79724,70114,74784,111951
688331,荣昌生物,2022,107418,96087,101206,149865
688485,九州一轨,2023,66009,58472,62539,91117
688435,英方软件,2023,71713,63150,66883,100931
688515,裕太微,2023,46708,41090,43885,63949
688307,中润光学,2023,101833,89028,94961,133246
688486,龙迅股份,2023,73104,65785,68554,100604
688522,纳睿雷达,2023,44854,39265,41990,61223
688502,茂莱光学,2023,73893,65713,69699,101924
688531,日联科技,2023,59289,52460,55779,79153
688343,云天励飞,2023,108662,96284,101404,134608
688484,南芯科技,2023,35737,31992,34032,50047
688535,华海诚科,2023,69703,61094,65229,94252
688433,华曙高科,2023,50879,45362,47045,69366
688507,索辰科技,2023,48131,41987,44961,68298
688352,颀中科技,2023,64048,56972,60143,87199
688539,高华科技,2023,59253,51846,55384,82709
688146,中船特气,2023,67734,59088,63170,86000
688478,晶升股份,2023,68363,60334,64356,92330
688249,晶合集成,2023,40800,35931,38008,56590
688469,中芯集成,2023,45427,40759,42961,62414
688479,友车科技,2023,35901,31235,33502,51621
688512,慧智微,2023,53910,47517,50421,73588
