code,sec_name_csmar,company_name_csmar,list_date_csmar,list_year_csmar,prospectus_publish_date_csmar,prospectus_sign_date_csmar,issue_price,gross_proceeds,issue_fee,sponsor,Listexg,Nindcd,Nindnme,IndustryCodeC,IndustryNameC,in_candidate_x,candidate_status
688266,泽璟制药,苏州泽璟生物制药股份有限公司,2020-01-23,2020,2020-01-20,2020-01-20,33.76,202560.0,11737.92,中国国际金融股份有限公司,1,C27,医药制造业,,,True,in_candidate_x
688298,东方生物,浙江东方基因生物制品股份有限公司,2020-02-05,2020,2020-01-22,2020-01-22,21.25,63750.0,8668.22,光大证券股份有限公司,1,C27,医药制造业,,,True,in_candidate_x
688186,广大特材,张家港广大特材股份有限公司,2020-02-11,2020,2020-02-04,2020-02-04,17.16,71728.8,7775.04,中信建投证券股份有限公司,1,C33,金属制品业,,,True,in_candidate_x
688398,赛特新材,福建赛特新材股份有限公司,2020-02-11,2020,2020-02-05,2020-02-05,24.12,48240.0,5929.85,兴业证券股份有限公司,1,C30,非金属矿物制品业,,,True,in_candidate_x
688080,映翰通,北京映翰通网络技术股份有限公司,2020-02-12,2020,2020-02-05,2020-02-05,27.63,36215.1853,4843.13,光大证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688208,道通科技,深圳市道通科技股份有限公司,2020-02-13,2020,2020-02-10,2020-02-10,24.36,121800.0,11875.06,中信证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688090,瑞松科技,广州瑞松智能科技股份有限公司,2020-02-17,2020,2020-02-11,2020-02-11,27.55,46394.6,5807.18,广发证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688200,华峰测控,北京华峰测控技术股份有限公司,2020-02-18,2020,2020-02-13,2020-02-13,107.41,164297.53,13071.67,中国国际金融股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688169,石头科技,北京石头世纪科技股份有限公司,2020-02-21,2020,2020-02-17,2020-02-17,271.12,451866.68,15054.0,中信证券股份有限公司,1,C38,电气机械及器材制造业,,,True,in_candidate_x
688177,百奥泰,百奥泰生物制药股份有限公司,2020-02-21,2020,2020-02-17,2020-02-17,32.76,196560.0,8940.02,中国国际金融股份有限公司,1,C27,医药制造业,,,True,in_candidate_x
688233,神工股份,锦州神工半导体股份有限公司,2020-02-21,2020,2020-02-17,2020-02-17,21.67,86680.0,9193.06,国泰君安证券股份有限公司,1,C30,非金属矿物制品业,,,True,in_candidate_x
688086,紫晶存储,广东紫晶信息存储技术股份有限公司,2020-02-26,2020,2020-02-21,2020-02-21,21.49,102284.07,13912.01,中信建投证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688396,华润微,华润微电子有限公司,2020-02-27,2020,2020-02-18,2020-02-18,12.8,375032.38,7712.25,中国国际金融股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688051,佳华科技,罗克佳华科技集团股份有限公司,2020-03-20,2020,2020-03-16,2020-03-16,50.81,98236.054,11799.18,光大证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688189,南新制药,湖南南新制药股份有限公司,2020-03-26,2020,2020-03-20,2020-03-20,34.94,122290.0,8761.77,西部证券股份有限公司,1,C27,医药制造业,,,True,in_candidate_x
688228,开普云,开普云信息科技股份有限公司,2020-03-27,2020,2020-03-23,2020-03-23,59.26,99458.1914,9727.8254,国金证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
