sec_code,sec_name,chunk_count,original_length_units,summary_length_units,relevant_score_mean,Redundancy
688399,硕世生物,18,69908,2234.0,2.178831343941874,31.29274843330349
688073,毕得医药,15,56176,1797.0,2.299345934167513,31.260990539788537
688314,康拓医疗,10,35479,1136.0,2.2148685323844703,31.231514084507044
688298,东方生物,19,71742,2302.0,2.610719906295042,31.165073848827106
688221,前沿生物,16,60983,1957.0,2.0799852695602388,31.161471640265713
688021,奥福环保,15,57105,1840.0,1.9750595462759202,31.035326086956523
688819,天能股份,9,34796,1125.0,2.030935541837796,30.929777777777776
688501,青达环保,14,51370,1662.0,2.1942175047082975,30.908543922984357
688338,赛科希德,15,54937,1781.0,2.244787645124525,30.846153846153847
688318,财富趋势,14,53303,1733.0,2.0862479605314763,30.757645701096365
688626,翔宇医疗,16,61487,2007.0,2.254722079415166,30.636273044344794
688222,成都先导,12,45784,1498.0,2.2179725154120224,30.563417890520693
688739,成大生物,12,45357,1489.0,2.1863110692222114,30.461383478844862
688176,亚虹医药,15,58375,1920.0,2.024654478302803,30.403645833333332
688051,佳华科技,16,61367,2020.0,2.399842178756932,30.37970297029703
688655,迅捷兴,13,49521,1640.0,2.2244619535132104,30.195731707317073
688212,澳华内镜,13,47191,1563.0,2.3935453858226468,30.192578374920025
688520,神州细胞,17,63933,2121.0,2.0989002305461764,30.142857142857142
688195,腾景科技,11,40271,1337.0,2.1178761727610063,30.12041884816754
688779,长远锂科,13,49557,1647.0,2.1378663416169363,30.089253187613842
688606,奥泰生物,15,55529,1846.0,2.2423082866375603,30.0807150595883
688211,中科微至,9,32698,1089.0,2.425825445775482,30.0257116620753
688526,科前生物,18,69850,2328.0,2.329095931930152,30.004295532646047
688416,恒烁股份,12,43579,1453.0,2.2632589097353484,29.992429456297316
688271,联影医疗,17,64985,2167.0,2.239159755791086,29.98846331333641
688105,诺唯赞,14,52682,1757.0,1.9339974690871613,29.98406374501992
688410,山外山,11,40054,1342.0,2.2006068552372398,29.84649776453055
688521,芯原股份,9,32877,1105.0,2.1755334879378525,29.75294117647059
688351,微电生理,11,40275,1355.0,1.9339900035489814,29.723247232472325
688327,云从科技,16,58350,1966.0,2.154496843207518,29.679552390640897
688768,容知日新,13,48471,1635.0,2.341782257135415,29.645871559633026
688398,赛特新材,13,46669,1582.0,1.9590170014730022,29.5
688553,汇宇制药,14,52631,1786.0,2.250958024209509,29.468645016797314
688261,东微半导,9,34326,1165.0,2.1123007494839574,29.464377682403434
688231,隆达股份,13,50316,1708.0,2.150140693507168,29.459016393442624
688086,紫晶存储,20,76491,2597.0,2.4459831879089,29.453600308047747
688288,鸿泉物联,16,59681,2028.0,2.29485528427347,29.428500986193296
688317,之江生物,22,82212,2796.0,2.367662906050579,29.40343347639485
688102,斯瑞新材,12,45493,1549.0,2.5850083927548777,29.3692704970949
