sec_code,sec_name,chunk_count,original_length_units,summary_length_units,relevant_score_mean,Redundancy
688318,财富趋势,14,53303,1824,2.2301261893908997,29.22313596491228
688655,迅捷兴,13,49521,1697,2.095789418771542,29.181496758986448
688686,奥普特,11,41158,1413,2.409620920115851,29.12809624911536
688183,生益电子,18,69475,2389,2.4500427777248555,29.081205525324403
688521,芯原股份,9,32877,1134,1.9744387414824343,28.99206349206349
688238,和元生物,10,37881,1321,1.9694976755680949,28.676003028009085
688322,奥比中光,3,9804,343,1.740829772079772,28.583090379008745
688663,新风光,11,40056,1458,2.3578659241051465,27.473251028806583
688078,龙软科技,18,68988,2556,2.4415540942051117,26.990610328638496
688126,沪硅产业,10,37878,1412,1.8188632215348022,26.825779036827196
688168,安博通,9,34287,1279,2.291448703883911,26.80766223612197
688075,安旭生物,15,56776,2123,2.4237082705922313,26.74328780028262
688357,建龙微纳,13,48840,1828,2.5104564637263085,26.717724288840262
688529,豪森股份,16,59876,2244,2.560870517163033,26.68270944741533
688115,思林杰,11,42393,1594,2.451402707448206,26.595357590966124
688135,利扬芯片,11,39616,1493,2.213283072620665,26.534494306764902
688367,工大高科,13,47451,1795,2.5248362487756277,26.43509749303621
688376,美埃科技,2,5796,224,1.8784922394678492,25.875
688475,萤石网络,13,49032,1908,2.3379631507221474,25.69811320754717
