sample,variable,N,mean,std,p25,median,p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,distance_all
full_2019_2023,BHAR_cal365_excl_star_all_vw,541,-2.8885751635613213,5.459168178622444,-2.0215647441890883,-0.6074379856741893,-0.2973513093857687,471,-0.036,0.514,-0.385,-0.17,0.162,10.33109738143281
full_2019_2023,BHAR_td252_excl_star_all_vw,541,-2.9878665566577336,5.660038169833131,-2.100967222928948,-0.6312108388296205,-0.3176151359596764,471,-0.036,0.514,-0.385,-0.17,0.162,10.75469792420911
w2_2019_2022,BHAR_cal365_excl_star_exipo_ew,474,-0.05804694948633564,0.5230495861114309,-0.3876551840303612,-0.21206795577491833,0.11782334190757104,471,-0.036,0.514,-0.385,-0.17,0.162,0.11999633349547503
w2_2019_2022,BHAR_td252_excl_star_exipo_ew,474,-0.05761605435961941,0.5218322443420795,-0.4015983348201264,-0.21918262110992626,0.09290142884570965,471,-0.036,0.514,-0.385,-0.17,0.162,0.16432782578604194
w2_2019_2022,BHAR_current,474,-0.06065672004061957,0.5055842301807021,-0.40159833482012575,-0.2191826211099277,0.09290142884570896,471,-0.036,0.514,-0.385,-0.17,0.162,0.16795201694426198
w2_2019_2022,BHAR_td252_excl_cnd_m53_tl,474,-0.1047794336432913,0.5489062487241055,-0.43178482956173647,-0.23928659759447374,0.10152911271492882,471,-0.036,0.514,-0.385,-0.17,0.162,0.2802279968086782
w2_2019_2022,BHAR_td252_excl_cnd_m117_tl,474,-0.10494327725533845,0.5489459091123028,-0.4321079220141067,-0.23902107920496796,0.10151075460055461,471,-0.036,0.514,-0.385,-0.17,0.162,0.2805074329861612
w2_2019_2022,BHAR_cal365_excl_cnd_m53_tl,474,-0.10160361919766354,0.5587451086661099,-0.43584130507581886,-0.2297005718757913,0.0974595952354578,471,-0.036,0.514,-0.385,-0.17,0.162,0.28543100957992584
w2_2019_2022,BHAR_cal365_excl_cnd_m117_tl,474,-0.10175481104503989,0.5587965987039545,-0.43658044996833456,-0.22959371132509154,0.0969473015973294,471,-0.036,0.514,-0.385,-0.17,0.162,0.28677826944509105
w2_2019_2022,BHAR_cal365_excl_cnd_m33_os,474,-0.1146729046221028,0.5594329513709991,-0.4423276655102639,-0.251598635897378,0.08317134040671156,471,-0.036,0.514,-0.385,-0.17,0.162,0.34186081699403226
w2_2019_2022,BHAR_td252_excl_cnd_m33_os,474,-0.1196075659014656,0.5474695963784072,-0.45999470476291165,-0.25587256479822956,0.0776881168118172,471,-0.036,0.514,-0.385,-0.17,0.162,0.36225631502919675
w2_2019_2022,BHAR_cal365_excl_star_exipo_vw,474,-0.3631835081443621,0.5546915301940729,-0.7616978685716133,-0.44289468485111255,-0.13070653531391427,471,-0.036,0.514,-0.385,-0.17,0.162,1.310174127075075
w2_2019_2022,BHAR_td252_excl_star_exipo_vw,474,-0.37170141004360363,0.5567219644613369,-0.752840213853577,-0.46045852963868894,-0.1210405818195664,471,-0.036,0.514,-0.385,-0.17,0.162,1.3197626998167729
w2_2019_2022,BHAR_cal365_incl_star_exipo_vw,474,0.6983090410698347,1.4644866998379784,-0.23456573641350636,0.2294244931698023,0.9952446948291862,471,-0.036,0.514,-0.385,-0.17,0.162,3.0678991924932952
w2_2019_2022,BHAR_td252_incl_star_exipo_vw,474,0.7048873982498691,1.5260709228636344,-0.26682054612441813,0.2145253849522124,1.020701067392256,471,-0.036,0.514,-0.385,-0.17,0.162,3.114364227333554
w2_2019_2022,BHAR_cal365_incl_cnd_m33_os,474,0.9427537477656923,1.4623422645526745,0.030590181251172466,0.44408715974114166,1.2226865510737317,471,-0.036,0.514,-0.385,-0.17,0.162,4.017459904384412
