sec_code,sec_name,chunk_n,chunk_glm4_tokens_sum,summary_proxy_sum,summary_glm4_sum,relevant_score_mean,red_chunk_proxy_mean,red_chunk_glm4_mean,announcement_date,chunk_count,tech_text_glm4_tokens,lnN_tech,Redundancy_proxy,Redundancy_glm4
688128,中国电器,34,129845,4246,4869,2.4110671959883727,32.16326796763718,28.136226499840635,2019-10-31,34,129860,11.774212226062478,30.58054639660857,26.66769357157527
688313,仕佳光子,16,62999,2062,2535,2.3101331976672217,33.422816439650234,27.26226950830411,2020-08-06,16,63006,11.050985238934048,30.552376333656643,24.851676528599604
688118,普元信息,16,59073,1940,2184,2.611602958447241,31.30273514274584,28.008134198584116,2019-11-28,16,59081,10.98666466270383,30.45,27.048076923076923
688133,泰坦科技,14,51860,1716,1940,2.1991740774724255,30.37185288632886,26.797058076415134,2020-10-26,14,51868,10.856457308668775,30.221445221445222,26.7319587628866
688311,盟升电子,17,63238,2099,2540,2.394763558179855,31.055375575157246,25.67410948041563,2020-07-28,17,63244,11.054755540430035,30.12767984754645,24.896850393700788
688172,燕东微,13,50643,1682,2077,2.2155733922895156,30.61440003696026,24.982063683909608,2022-12-13,13,50646,10.832615533211776,30.108799048751486,24.3827636013481
688486,龙迅股份,18,65780,2223,2656,2.384970650793639,31.284099448324966,26.125103679695425,2023-02-14,18,65785,11.094147127799939,29.5906432748538,24.76656626506024
688288,鸿泉物联,20,75718,2574,3132,2.533146749199377,29.77497341143789,24.698998251462534,2019-10-31,20,75723,11.234837224189768,29.416472416472416,24.17560664112388
688216,气派科技,19,72672,2480,3053,2.315928640981216,29.89357794846145,24.31525724648966,2021-06-17,19,72681,11.193835281358767,29.303225806451614,23.803471994759253
688799,华纳药厂,31,118409,4070,5307,2.3114613769859567,30.31779433463029,23.481449793007283,2021-07-07,31,118421,11.68200135056962,29.093120393120394,22.31185227058602
688073,毕得医药,18,68729,2375,3011,2.301159596873524,29.821748238706505,23.840238502037508,2022-09-29,18,68735,11.138013809905521,28.938526315789474,22.825971438060446
688098,申联生物,14,52823,1850,2308,2.3035005860943736,30.1623388246286,24.192411301406963,2019-10-22,14,52829,10.874815561340181,28.552972972972974,22.886915077989602
688123,聚辰股份,19,72690,2547,3089,2.340315114345462,29.365453763950995,24.82784457594381,2019-12-18,19,72696,11.194041641375183,28.539458186101296,23.531887342181935
688070,纵横股份,20,78149,2764,3285,2.2276451427976927,29.157176532637994,24.799343766820954,2021-02-04,20,78154,11.266436518161028,28.273878437047756,23.789649923896498
688433,华曙高科,12,45357,1613,1858,2.2147530673391285,29.21409089072344,25.432447990372292,2023-04-11,12,45362,10.722430029140382,28.11965282083075,24.41173304628633
688036,传音控股,24,89683,3199,3768,2.3510263939956397,28.65018459312151,24.397022327595895,2019-09-25,24,89692,11.404136857893421,28.03469834323226,23.801220806794056
688150,莱特光电,16,62027,2221,2683,2.3470083574632077,30.19809457400498,25.458865748169593,2022-03-14,16,62032,11.03540565991071,27.927510130571815,23.118524040253448
688159,有方科技,24,90277,3292,3855,2.541348117845193,28.531725690882695,24.492180175872345,2020-01-20,24,90283,11.410704460330631,27.42314702308627,23.418158236057067
688157,松井股份,18,69661,2544,3109,2.2751497995925423,28.25055428330664,23.116852541769624,2020-06-02,18,69664,11.151438964034273,27.38246855345912,22.406239948536506
688038,中科通达,16,61022,2231,2589,2.615836454394287,28.265069902084573,24.397485846141375,2021-07-07,16,61026,11.019055281853651,27.35186015239803,23.569718037852454
688685,迈信林,12,44855,1646,1942,2.3263456336928425,28.615531822617623,24.41811284170798,2021-05-07,12,44859,10.711279516251953,27.25091130012151,23.097322348094746
688719,爱科赛博,16,61177,2264,2589,2.4390290391306593,29.092552852455203,25.692547929490456,2023-09-22,16,61181,11.021591962782166,27.021643109540637,23.629586713016607
688099,晶晨股份,10,37830,1401,1650,2.3064727717729334,27.607971721531563,23.38131349015167,2019-08-02,10,37833,10.540937016623984,27.002141327623125,22.927272727272726
688218,江苏北人,17,65846,2490,2898,2.1933929834895016,27.19922332256156,23.249605851296078,2019-12-03,17,65851,11.095149893084974,26.44417670682731,22.721187025534853
688678,福立旺,6,21320,808,992,2.2149257073535042,27.30729319346445,22.26559639593654,2020-12-17,6,21322,9.96749468251042,26.386138613861387,21.491935483870968
688301,奕瑞科技,12,45330,1733,2027,2.394008413867728,26.633462141239928,22.790934764405733,2020-09-11,12,45333,10.72179052308187,26.156953260242354,22.363098174642328
688693,锴威特,13,50351,1934,2402,2.3598624888491226,26.46149608026696,21.341383468226272,2023-08-14,13,50357,10.82689291529569,26.03464322647363,20.962114904246462
688283,坤恒顺维,13,50746,1959,2341,2.6081418609497073,26.30622804085585,22.158972456642292,2022-02-10,13,50750,10.834666896904034,25.904032669729453,21.677061085006407
688720,艾森股份,13,50266,1941,2496,2.354498434943316,26.816880291518405,20.978757967719307,2023-12-01,13,50272,10.825203541055348,25.896960329726944,20.138621794871796
688548,广钢气体,9,34192,1347,1689,2.1791342633685042,26.275411457141004,21.07888019532047,2023-08-10,9,34193,10.439776223738649,25.383815887156643,20.243931320307876
688206,概伦电子,9,33548,1326,1495,2.1234271755169587,27.478517092133682,24.43392721641507,2021-12-22,9,33551,10.420821948214945,25.300150829562593,22.440133779264215
688078,龙软科技,22,84630,3398,3782,2.236145134833245,25.475068412139446,22.927174737023755,2019-12-24,22,84644,11.346209504954661,24.90582695703355,22.37704918032787
688376,美埃科技,2,6622,267,312,2.1294117647058823,24.716603053435115,21.109004154497963,2022-11-14,2,6622,8.798152718107191,24.801498127340825,21.224358974358974
688472,阿特斯,14,53999,2186,2617,2.0681422945900683,27.23566146947174,22.92967487208771,2023-06-06,14,54002,10.896776361897594,24.702195791399816,20.633931983186855
688450,光格科技,3,8987,455,544,2.480708496212372,18.7469184370042,15.681982210569346,2023-07-19,3,8988,9.10364563330522,19.751648351648353,16.520220588235293
