key,metric,stat,value,paper,diff
proxy|merge_short_tail|1500|floor50|none|original_section,Redundancy_chunk,mean,33.51756606621987,32.176,1.341566066219869
proxy|merge_short_tail|1500|floor50|none|original_section,Redundancy_chunk,std,11.121399689608955,11.73,-0.6086003103910453
proxy|merge_short_tail|1500|floor50|none|original_section,Redundancy_chunk,p25,26.769449806949808,24.356,2.4134498069498065
proxy|merge_short_tail|1500|floor50|none|original_section,Redundancy_chunk,median,32.11290322580645,29.739,2.3739032258064476
proxy|merge_short_tail|1500|floor50|none|original_section,Redundancy_chunk,p75,37.67067532224921,37.037,0.6336753222492106
proxy|merge_short_tail|1500|floor50|none|original_section,lnN_tech,mean,10.927058231808044,10.962,-0.03494176819195616
proxy|merge_short_tail|1500|floor50|none|original_section,lnN_tech,std,0.5451209233575225,0.35,0.1951209233575225
proxy|merge_short_tail|1500|floor50|none|original_section,lnN_tech,p25,10.76794748729387,10.714,0.05394748729387011
proxy|merge_short_tail|1500|floor50|none|original_section,lnN_tech,median,11.002859972278742,10.91,0.09285997227874176
proxy|merge_short_tail|1500|floor50|none|original_section,lnN_tech,p75,11.187608205278961,11.185,0.0026082052789604404
proxy|merge_short_tail|1500|floor50|none|original_section,Redundancy,mean,30.21785443221641,29.074,1.1438544322164077
proxy|merge_short_tail|1500|floor50|none|original_section,Redundancy,std,2.9745368053902985,2.63,0.34453680539029863
proxy|merge_short_tail|1500|floor50|none|original_section,Redundancy,p25,28.24715394400885,27.402,0.8451539440088496
proxy|merge_short_tail|1500|floor50|none|original_section,Redundancy,median,30.731327696797614,28.91,1.8213276967976135
proxy|merge_short_tail|1500|floor50|none|original_section,Redundancy,p75,32.12116665572242,30.795,1.3261666557224174
proxy|drop_any_short|1500|floor50|0.99|original_section,Chunk_num,mean,18.987562189054728,18.191,0.796562189054729
proxy|drop_any_short|1500|floor50|0.99|original_section,Chunk_num,std,7.376030280053572,6.983,0.39303028005357277
proxy|drop_any_short|1500|floor50|0.99|original_section,Chunk_num,p25,14.0,13.0,1.0
proxy|drop_any_short|1500|floor50|0.99|original_section,Chunk_num,median,17.0,16.0,1.0
proxy|drop_any_short|1500|floor50|0.99|original_section,Chunk_num,p75,23.0,22.0,1.0
proxy|drop_any_short|1500|floor50|0.99|original_section,Text_len,mean,3861.0037313432836,3866.817,-5.8132686567164455
proxy|drop_any_short|1500|floor50|0.99|original_section,Text_len,std,324.1853185803931,343.868,-19.682681419606922
proxy|drop_any_short|1500|floor50|0.99|original_section,Text_len,p25,3891.75,3888.0,3.75
proxy|drop_any_short|1500|floor50|0.99|original_section,Text_len,median,3966.0,3954.0,12.0
proxy|drop_any_short|1500|floor50|0.99|original_section,Text_len,p75,3989.0,3985.0,4.0
proxy|drop_any_short|1500|floor50|0.99|original_section,Summary_len,mean,125.5136815920398,132.678,-7.164318407960195
proxy|drop_any_short|1500|floor50|0.99|original_section,Summary_len,std,41.41192471644379,39.683,1.7289247164437924
proxy|drop_any_short|1500|floor50|0.99|original_section,Summary_len,p25,102.75,105.0,-2.25
proxy|drop_any_short|1500|floor50|0.99|original_section,Summary_len,median,120.0,130.0,-10.0
