custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,source_dir,source_shard
688008_1206441634_glm4_dewrap_join_chunk_0005,688008,澜起科技,1206441634,5,10,results/glm4_dewrap_join_first_batch25_20260706/chunks/688008_1206441634_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7207,6670,3970,3970,10,3970,glm4_dewrap_join_first_batch25_20260706,siliconflow_glm4_32b_table2_next50_shard1_20260707
688008_1206441634_glm4_dewrap_join_chunk_0006,688008,澜起科技,1206441634,6,10,results/glm4_dewrap_join_first_batch25_20260706/chunks/688008_1206441634_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6402,5884,3892,3892,10,3892,glm4_dewrap_join_first_batch25_20260706,siliconflow_glm4_32b_table2_next50_shard1_20260707
688008_1206441634_glm4_dewrap_join_chunk_0007,688008,澜起科技,1206441634,7,10,results/glm4_dewrap_join_first_batch25_20260706/chunks/688008_1206441634_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5917,5189,3872,3872,10,3872,glm4_dewrap_join_first_batch25_20260706,siliconflow_glm4_32b_table2_next50_shard1_20260707
688008_1206441634_glm4_dewrap_join_chunk_0008,688008,澜起科技,1206441634,8,10,results/glm4_dewrap_join_first_batch25_20260706/chunks/688008_1206441634_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6869,6166,3575,3575,10,3575,glm4_dewrap_join_first_batch25_20260706,siliconflow_glm4_32b_table2_next50_shard1_20260707
688008_1206441634_glm4_dewrap_join_chunk_0009,688008,澜起科技,1206441634,9,10,results/glm4_dewrap_join_first_batch25_20260706/chunks/688008_1206441634_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7008,6486,3953,3953,10,3953,glm4_dewrap_join_first_batch25_20260706,siliconflow_glm4_32b_table2_next50_shard1_20260707
688008_1206441634_glm4_dewrap_join_chunk_0010,688008,澜起科技,1206441634,10,10,results/glm4_dewrap_join_first_batch25_20260706/chunks/688008_1206441634_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5026,4771,2678,2678,10,2678,glm4_dewrap_join_first_batch25_20260706,siliconflow_glm4_32b_table2_next50_shard1_20260707
688011_1206447906_glm4_dewrap_join_chunk_0001,688011,新光光电,1206447906,1,16,results/glm4_dewrap_join_first_batch25_20260706/chunks/688011_1206447906_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6727,6444,3986,3986,16,3986,glm4_dewrap_join_first_batch25_20260706,siliconflow_glm4_32b_table2_next50_shard1_20260707
688011_1206447906_glm4_dewrap_join_chunk_0002,688011,新光光电,1206447906,2,16,results/glm4_dewrap_join_first_batch25_20260706/chunks/688011_1206447906_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6636,6378,3967,3967,16,3967,glm4_dewrap_join_first_batch25_20260706,siliconflow_glm4_32b_table2_next50_shard1_20260707
688011_1206447906_glm4_dewrap_join_chunk_0003,688011,新光光电,1206447906,3,16,results/glm4_dewrap_join_first_batch25_20260706/chunks/688011_1206447906_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7128,6890,3985,3985,16,3985,glm4_dewrap_join_first_batch25_20260706,siliconflow_glm4_32b_table2_next50_shard1_20260707
688011_1206447906_glm4_dewrap_join_chunk_0004,688011,新光光电,1206447906,4,16,results/glm4_dewrap_join_first_batch25_20260706/chunks/688011_1206447906_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7118,6758,3992,3992,16,3992,glm4_dewrap_join_first_batch25_20260706,siliconflow_glm4_32b_table2_next50_shard1_20260707
