code,segment_target_year,NumIndSeg_count,NumIndSeg_count_main,NumIndSeg_count_operating,NumIndSeg_source,NumIndSeg,NumIndSeg_ln_count,NumProdSeg_count,NumProdSeg_count_main,NumProdSeg_count_operating,NumProdSeg_source,NumProdSeg,NumProdSeg_ln_count
688026,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688027,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688050,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688051,2020,6.0,6.0,,main_business_revenue,1.9459101490553132,1.791759469228055,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688055,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0
688056,2020,7.0,7.0,,main_business_revenue,2.0794415416798357,1.9459101490553132,21.0,21.0,,main_business_revenue,3.091042453358316,3.044522437723423
688057,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688060,2020,2.0,,2.0,operating_revenue_fallback,1.0986122886681098,0.6931471805599453,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688063,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
688065,2020,8.0,8.0,,main_business_revenue,2.1972245773362196,2.0794415416798357,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688069,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688077,2020,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688080,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688081,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688085,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
688086,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
688090,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688093,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688095,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688096,2020,3.0,,3.0,operating_revenue_fallback,1.3862943611198906,1.0986122886681098,3.0,,3.0,operating_revenue_fallback,1.3862943611198906,1.0986122886681098
688100,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688106,2020,7.0,7.0,,main_business_revenue,2.0794415416798357,1.9459101490553132,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688126,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688127,2020,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688129,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688133,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,8.0,8.0,,main_business_revenue,2.1972245773362196,2.0794415416798357
688135,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
688136,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688155,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688156,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688157,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,8.0,8.0,,main_business_revenue,2.1972245773362196,2.0794415416798357
688158,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688159,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688160,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688165,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
688169,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,2.0,,2.0,operating_revenue_fallback,1.0986122886681098,0.6931471805599453
688177,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0
688178,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688179,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688180,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
688181,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688185,2020,,,,,,,,,,,,
688186,2020,9.0,9.0,,main_business_revenue,2.302585092994046,2.1972245773362196,8.0,8.0,,main_business_revenue,2.1972245773362196,2.0794415416798357
688189,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,8.0,8.0,,main_business_revenue,2.1972245773362196,2.0794415416798357
688200,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
688208,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688215,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,6.0,6.0,,main_business_revenue,1.9459101490553132,1.791759469228055
688219,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0
688221,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0
688222,2020,16.0,,16.0,operating_revenue_fallback,2.833213344056216,2.772588722239781,5.0,,5.0,operating_revenue_fallback,1.791759469228055,1.6094379124341003
688228,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,3.0,,3.0,operating_revenue_fallback,1.3862943611198906,1.0986122886681098
688229,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688233,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688256,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,6.0,6.0,,main_business_revenue,1.9459101490553132,1.791759469228055
688266,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,3.0,,3.0,operating_revenue_fallback,1.3862943611198906,1.0986122886681098
688277,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688278,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688286,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688289,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
