sample,variable,N,mean,std,p25,median,p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,distance_all,distance_q
full_2019_2023,BHAR_cnd_excl_first_252_m117_eq,541,-0.3001599828995061,0.5482900674396894,-0.668828899951316,-0.3940561013099797,-0.11204859557970322,471,-0.036,0.514,-0.385,-0.17,0.162,1.0803836471801944,0.781933596840999
full_2019_2023,BHAR_cnd_incl_first_252_m117_eq,541,0.6763609251162771,1.4441821873245244,-0.20436653268163818,0.182377330015429,0.8737256416657246,471,-0.036,0.514,-0.385,-0.17,0.162,2.887279551440317,1.2447364389995155
full_2019_2023,BHAR_cnd_incl_first_252_m33_eq,541,0.6743584590972304,1.4407146967154116,-0.2083924327267303,0.1887226594678777,0.8789795206679754,471,-0.036,0.514,-0.385,-0.17,0.162,2.889382903221765,1.2523097474091227
full_2019_2023,BHAR_cnd_incl_first_252_m53_eq,541,0.6821124381361952,1.4434266439193777,-0.1961522933246414,0.19352811512694967,0.8760792878768786,471,-0.036,0.514,-0.385,-0.17,0.162,2.91399419173476,1.266455109679187
full_2019_2023,BHAR_cnd_incl_first_252_m63_eq,541,0.6866686618364686,1.4437573277353692,-0.18963251048430815,0.19731706740155897,0.8806481125426862,471,-0.036,0.514,-0.385,-0.17,0.162,2.933758659031775,1.281332669459937
full_2019_2023,BHAR_cnd_incl_first_252_m101_eq,541,0.714940860376876,1.4487947818746698,-0.16365745084542746,0.2321115660370361,0.9442416357572818,471,-0.036,0.514,-0.385,-0.17,0.162,3.0914313932004363,1.4056957509488905
full_2019_2023,BHAR_cnd_incl_first_252_m37_eq,541,0.7229172362186265,1.4477545224702633,-0.15439665571412453,0.24906335036201432,0.9526425755421926,471,-0.036,0.514,-0.385,-0.17,0.162,3.132981028878972,1.4403092701900824
full_2019_2023,BHAR_cnd_incl_first_252_m33_os,541,0.8330195617233461,1.4784655644215838,-0.06905353817665477,0.345454309082608,1.1050740880241732,471,-0.036,0.514,-0.385,-0.17,0.162,3.6079599850750563,1.7744748589301265
full_2019_2023,BHAR_cnd_incl_first_252_m101_os,541,0.8418574148723951,1.4740429662492933,-0.0627606276670334,0.3560848513525816,1.1037711491307043,471,-0.036,0.514,-0.385,-0.17,0.162,3.627995753937941,1.7900953728162525
full_2019_2023,BHAR_cnd_incl_first_252_m37_os,541,0.8418250806529386,1.4741060226714844,-0.06242235888924676,0.3561247412430114,1.1044314916536633,471,-0.036,0.514,-0.385,-0.17,0.162,3.629064977331851,1.791133874007428
