sample,variable,N,mean,std,p25,median,p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,distance_all,distance_q
w2_2019_2022,BHAR_current,474,-0.06065672004061957,0.5055842301807021,-0.40159833482012575,-0.2191826211099277,0.09290142884570896,471,-0.036,0.514,-0.385,-0.17,0.162,0.16795201694426198,0.13487952708434447
w2_2019_2022,BHARwk_skip_first_first52_Wretwd_Cmdeq,474,-0.3305435178475406,0.5440550147726142,-0.40890455269910897,-0.17137253947917797,-0.06183594295678854,471,-0.036,0.514,-0.385,-0.17,0.162,0.5737115677552302,0.24911303513507546
w2_2019_2022,BHARwk_skip_first_first52_Wretwd_Mdeq,474,-0.2806272861229434,0.46030132348192276,-0.33929502952925567,-0.1421263407295748,-0.04878884887788104,471,-0.036,0.514,-0.385,-0.17,0.162,0.5826934412600713,0.2843674786190506
w2_2019_2022,BHARwk_within365_Wretwd_Mdos,215,-0.34558891443774786,0.5282508194106644,-0.38782188575421606,-0.19736773527919005,-0.06739019417923009,471,-0.036,0.514,-0.385,-0.17,0.162,0.5834195490610485,0.2595798152126362
w2_2019_2022,BHARwk_within365_Wretwd_Mdtl,215,-0.34601054472296144,0.5342416141688646,-0.37929703806308124,-0.20274159053449847,-0.06881266563648142,471,-0.036,0.514,-0.385,-0.17,0.162,0.5995093769997247,0.26925721810789865
w2_2019_2022,BHARwk_first52_Wretwd_Mdeq,474,-0.2970437041054503,0.47441793767742274,-0.32872105733251367,-0.1506446689607568,-0.06562137213944444,471,-0.036,0.514,-0.385,-0.17,0.162,0.6038814122742016,0.30325564584617404
w2_2019_2022,BHARwk_skip_first_first52_Wretwd_Cmdtl,474,-0.345686992833549,0.5145567611894057,-0.4260373342594971,-0.19013291986016684,-0.08301005935509717,471,-0.036,0.514,-0.385,-0.17,0.162,0.6164240674977158,0.30618031347476105
w2_2019_2022,BHARwk_first52_Wretwd_Mdos,474,-0.29655188313768516,0.44897258319866357,-0.33159099625763794,-0.15715841433028377,-0.07032851646163593,471,-0.036,0.514,-0.385,-0.17,0.162,0.6241584058127359,0.2985791058737143
w2_2019_2022,BHARwk_skip_first_first52_Wretwd_Mdos,474,-0.27424705746811157,0.419488033429528,-0.32842706728247173,-0.14853366212862623,-0.057611192683089674,471,-0.036,0.514,-0.385,-0.17,0.162,0.6304094873105753,0.29765046327199174
w2_2019_2022,BHARwk_first52_Wretwd_Mdtl,474,-0.2959642320363438,0.44618833476464254,-0.32620965939349916,-0.1573528001515661,-0.0700587944837821,471,-0.036,0.514,-0.385,-0.17,0.162,0.6312722322104182,0.30349633493871686
