code,sec_name,first_trade_date,listing_year,FInvention,BHAR,FSales_Growth
688680,海优新材,2021-01-22,2021,1.3862943611198906,-0.1313739493386587,0.7089739953444907
688669,聚石化学,2021-01-25,2021,3.4657359027997265,-0.3674893293727538,0.5365792307494146
688689,银河微电,2021-01-27,2021,0.6931471805599453,0.2000130571892944,-0.1878963298638801
688350,富淼科技,2021-01-28,2021,3.295836866004329,-0.2303114947539764,0.1683117947075273
688607,康众医疗,2021-02-01,2021,1.791759469228055,-0.6750653926382223,-0.4018115358155914
688628,优利德,2021-02-01,2021,2.0794415416798357,-0.6750653926382223,0.0585102865461182
688059,华锐精密,2021-02-08,2021,2.1972245773362196,0.4766528478115901,0.2392664068909601
688687,凯因科技,2021-02-08,2021,1.9459101490553132,-0.662669421835105,0.0136467431366542
688665,四方光电,2021-02-09,2021,1.791759469228055,1.0489462592250152,0.1004215832095789
688619,罗普特,2021-02-23,2021,2.8903717578961645,-0.5721653415665138,-0.5902465738445307
688183,生益电子,2021-02-25,2021,3.5263605246161616,-0.4891880702593119,-0.0309003511373118
688677,海泰新光,2021-02-26,2021,2.1972245773362196,0.3891062975359416,0.5397475942219754
688079,美迪凯,2021-03-02,2021,2.1972245773362196,-0.4832118697467426,-0.0585564900597509
688696,极米科技,2021-03-03,2021,4.290459441148391,-0.3330729014509955,0.0457333538542042
688328,深科达,2021-03-09,2021,2.4849066497880004,-0.5269196969734876,-0.3536056962166253
688676,金盘科技,2021-03-09,2021,1.3862943611198906,-0.1727083466570181,0.4369384800725355
688083,中望软件,2021-03-11,2021,2.995732273553991,-0.498957685576028,-0.0286152443961957
688316,青云科技,2021-03-16,2021,1.3862943611198906,-0.550475743315384,-0.2804473674136826
688456,有研粉材,2021-03-17,2021,2.70805020110221,-0.4611142283135344,-8.351040132208375e-05
688616,西力科技,2021-03-18,2021,1.0986122886681098,-0.4004473285289935,0.3202873578031994
688092,爱科科技,2021-03-19,2021,2.772588722239781,-0.3666024891993561,-0.0683097734982345
688609,九联科技,2021-03-23,2021,2.302585092994046,-0.2549244503353308,-0.1406271665994159
688633,星球石墨,2021-03-24,2021,2.1972245773362196,-0.289262641298716,0.2657207700693317
688606,奥泰生物,2021-03-25,2021,2.1972245773362196,-0.023909090081816,0.8087530512615678
688195,腾景科技,2021-03-26,2021,1.0986122886681098,-0.0047791755219035,0.1373638421694497
688329,艾隆科技,2021-03-29,2021,3.218875824868201,-0.0385627538113065,0.2261133061312398
688661,和林微纳,2021-03-29,2021,2.0794415416798357,0.5996820160428165,-0.2206364086512072
688109,品茗股份,2021-03-30,2021,1.791759469228055,-0.5458330597186506,-0.0849926142714691
688626,翔宇医疗,2021-03-31,2021,2.0794415416798357,-0.2179292201586534,-0.066794737681603
688659,元琛科技,2021-03-31,2021,2.8903717578961645,-0.3644655488489714,0.1534578309190203
688630,芯碁微装,2021-04-01,2021,2.995732273553991,0.2435768622451317,0.3251051798399541
688662,富信科技,2021-04-01,2021,1.6094379124341005,-0.1533178097688242,-0.2803976938206006
688260,昀冢科技,2021-04-06,2021,2.9444389791664403,-0.4238505274440853,-0.1089891824515863
688191,智洋创新,2021-04-08,2021,3.4339872044851463,-0.2913659674085815,0.0231918567949447
688636,智明达,2021-04-08,2021,1.6094379124341005,-0.1139022572543266,0.2034638167937565
688468,科美诊断,2021-04-09,2021,2.70805020110221,-0.4019820035838365,-0.0116924390127906
688611,杭州柯林,2021-04-12,2021,1.3862943611198906,0.0411277959965459,-0.2182503039721191
688683,莱尔科技,2021-04-12,2021,3.1354942159291497,0.2377530008868,0.0456601828438737
688663,新风光,2021-04-13,2021,2.995732273553991,0.1058684532758503,0.3823193697555175
688533,上声电子,2021-04-19,2021,1.3862943611198906,0.4882364049734858,0.3586311875090254
688682,霍莱沃,2021-04-20,2021,1.3862943611198906,0.0935708335131861,0.020214703587533
688201,信安世纪,2021-04-21,2021,3.5553480614894135,0.3122478037563376,0.254423504505089
688639,华恒生物,2021-04-22,2021,2.8903717578961645,1.918154954299888,0.4869067328164193
688323,瑞华泰,2021-04-28,2021,1.6094379124341005,0.0047402945595904,-0.053649318085205
688383,新益昌,2021-04-28,2021,2.5649493574615367,0.5434539259829473,-0.0108474001158008
688395,正弦电气,2021-04-29,2021,1.9459101490553132,-0.389574018221728,-0.2198631863997288
688113,联测科技,2021-05-06,2021,0.6931471805599453,-0.3063708884492655,0.1020415292966815
688655,迅捷兴,2021-05-11,2021,2.0794415416798357,-0.4030626681819775,-0.2116900151141289
688097,博众精工,2021-05-12,2021,4.812184355372417,0.4362413788627046,0.2572264462518386
688355,明志科技,2021-05-12,2021,1.6094379124341005,-0.1759719764195493,-0.1416725864134035
688565,力源科技,2021-05-13,2021,2.0794415416798357,-0.3993078540072174,-0.357922672476794
688217,睿昂基因,2021-05-17,2021,2.8903717578961645,-0.5435940887447124,0.4583117826939116
688575,亚辉龙,2021-05-17,2021,3.4339872044851463,-0.4416870640818291,2.3795479359252383
688314,康拓医疗,2021-05-18,2021,1.9459101490553132,-0.4184505557512693,0.1289169686061974
688660,电气风电,2021-05-19,2021,4.553876891600541,-0.2042407570131064,-0.4962853450707937
688076,诺泰生物,2021-05-20,2021,1.791759469228055,-0.6750653926382223,0.0609612391532586
688359,三孚新科,2021-05-21,2021,2.4849066497880004,-0.0048641757797357,-0.0293537954733934
688613,奥精医疗,2021-05-21,2021,2.302585092994046,-0.6750653926382223,0.0391504801021321
