sec_code,sec_name,chunk_n,text_sum,summary_sum,floor_applied_n,relevant_score_mean,lnN_tech,Redundancy
688277,天智航,16,59593.0,1859.0,0,1.8548135142607454,10.99529339649126,32.0564819795589
688286,敏芯股份,12,44794.0,1534.0,0,1.8012002409179828,10.709829480862416,29.20078226857888
688289,圣湘生物,19,70206.0,2069.0,0,2.3242050328903487,11.159189056447014,33.93233446109232
688298,东方生物,23,88345.0,2855.0,0,2.381843449548684,11.38900488305075,30.943957968476358
688309,恒誉环保,26,99301.0,3089.0,0,1.882334319800243,11.505910920476012,32.14664940110068
688312,燕麦科技,12,44998.0,1546.0,0,2.0700412502124745,10.714373323320329,29.10608020698577
688318,财富趋势,16,61702.0,2041.0,0,1.967121064579302,11.030071624278987,30.2312591866732
688335,复洁环保,16,61206.0,2076.0,0,2.098222594562482,11.022000502910574,29.482658959537574
688338,赛科希德,18,67794.0,2196.0,0,2.0925967312503273,11.124228974437301,30.871584699453553
688339,亿华通,20,74275.0,2884.0,0,2.203861189998565,11.215529700330809,25.754160887656035
688356,键凯科技,14,54520.0,1828.0,0,2.088320819879411,10.90632288581047,29.824945295404813
688357,建龙微纳,17,65810.0,1987.0,0,2.3728743533907535,11.094527081450165,33.1202818319074
688358,祥生医疗,17,61669.0,1937.0,0,2.514653733863812,11.029536652514357,31.83737738771296
688360,德马科技,22,85035.0,2871.0,0,2.105692421995258,11.350818215426514,29.618599791013583
688365,光云科技,13,49213.0,1277.0,0,1.4276342849415493,10.8039130952207,38.53797963978074
688377,迪威尔,21,79213.0,2832.0,0,2.121582105960664,11.279895705746931,27.97069209039548
688378,奥来德,13,48075.0,1438.0,0,2.145697417267261,10.780517570456981,33.43184979137691
688379,华光新材,16,60103.0,1731.0,0,2.0281054931640643,11.003815036082822,34.72154823801271
688390,固德威,17,65190.0,1920.0,0,2.0138753288604527,11.085061361918585,33.953125
688393,安必平,20,78687.0,2372.0,0,1.915585684178426,11.273233236517111,33.17327150084317
688396,华润微,14,54270.0,1915.0,0,2.450265224815328,10.90172686705745,28.339425587467364
688398,赛特新材,15,58370.0,1952.0,0,1.7596811678158677,10.974557338197837,29.90266393442623
688399,硕世生物,23,87768.0,2554.0,0,1.7984759040158451,11.382452248497327,34.364917776037586
688408,中信博,14,54413.0,1695.0,0,1.827457636723601,10.904358374883346,32.10206489675516
688418,震有科技,18,70296.0,2498.0,0,1.9414482543566025,11.160470177175679,28.140912730184148
688466,金科环境,15,58052.0,1945.0,0,2.114695723750038,10.969094439590254,29.846786632390746
688488,艾迪药业,17,63783.0,2099.0,0,1.945735266432396,11.063241976146475,30.38732729871367
688500,慧辰资讯,16,61305.0,1902.0,0,1.967776368859248,11.023616684666488,32.23186119873817
688505,复旦张江,18,69881.0,2330.0,0,1.9508502408407533,11.154549074391738,29.99184549356223
688508,芯朋微,12,45947.0,1586.0,0,2.3523923694286597,10.735243837295545,28.970365699873895
688513,苑东生物,15,58206.0,1692.0,0,2.0030688094997737,10.97174372118934,34.40070921985816
688516,奥特维,28,103988.0,2962.0,0,2.373157194262355,11.552030786850809,35.10735989196489
688518,联赢激光,25,96809.0,3195.0,0,2.071368145676266,11.480495244149353,30.300156494522692
688519,南亚新材,9,32993.0,1040.0,0,2.4600204298132553,10.40405069673561,31.724038461538463
688521,芯原股份,10,38138.0,1393.0,0,1.7991267970542562,10.548966439394572,27.37832017229002
688528,秦川物联,27,101425.0,3199.0,0,2.624255757952144,11.527074888074647,31.705220381369177
688550,瑞联新材,8,31205.0,987.0,0,1.7644636818899693,10.348333617368143,31.616008105369808
688555,泽达易盛,20,75616.0,2435.0,0,1.6484963595878028,11.233423179986634,31.053798767967145
688556,高测股份,19,71243.0,2369.0,0,2.1941711721817225,11.173851847690445,30.073026593499367
688558,国盛智科,22,82662.0,2542.0,0,2.2052243507210125,11.322515283272654,32.51848937844217
688561,奇安信,24,93942.0,3132.0,0,2.402410330375226,11.450432849539578,29.99425287356322
688566,吉贝尔,25,97249.0,3032.0,0,1.8182477124064167,11.485029978651475,32.074208443271765
688567,孚能科技,21,79835.0,2371.0,0,1.961771876762646,11.287717283773802,33.67144664698439
688568,中科星图,21,73917.0,3671.0,0,2.703294355079965,11.210698121076412,20.13538545355489
688569,铁科轨道,17,65585.0,2181.0,0,2.3624076868912085,11.091102290249246,30.07106831728565
688579,山大地纬,15,55072.0,2024.0,0,1.947816405020706,10.916396699011266,27.209486166007906
688580,伟思医疗,15,55934.0,1901.0,0,2.074025672510401,10.931927703227235,29.423461336138875
688586,江航装备,11,40540.0,1402.0,0,1.867130026942039,10.610044420005991,28.91583452211127
688589,力合微,13,47664.0,1682.0,0,1.8108984372504295,10.771931674953063,28.33769322235434
688596,正帆科技,14,52978.0,1904.0,0,2.0852978738474914,10.877632012019133,27.824579831932773
688598,金博股份,12,44369.0,1406.0,0,2.3512987707030244,10.700296306368244,31.556899004267425
688599,天合光能,28,107849.0,3557.0,0,2.108713668687455,11.588487379637089,30.320213663199326
688600,皖仪科技,17,63297.0,2344.0,0,2.239296705723922,11.055593213644238,27.003839590443686
688981,中芯国际,8,30954.0,1015.0,0,1.7001493428912784,10.340257510472705,30.49655172413793
