sec_code,sec_name,chunk_count,original_length_units,summary_length_units,relevant_score_mean,Redundancy
688690,纳微科技,9,33887,905,2.287942798830312,37.444198895027625
688276,百克生物,11,42496,1135,2.2332165718925228,37.44140969162996
688147,微导纳米,8,31613,846,1.948225678532384,37.367612293144205
688260,昀冢科技,14,51588,1381,2.2564700018560466,37.35553946415641
688063,派能科技,12,46113,1235,2.189818069181956,37.33846153846154
688138,清溢光电,10,38309,1026,1.9654917378117822,37.338206627680314
688533,上声电子,10,35489,951,2.1074351710271806,37.317560462670876
688178,万德斯,12,46613,1250,2.37165008189518,37.2904
688685,迈信林,10,36069,968,2.1147343051373055,37.26136363636363
688223,晶科能源,13,49105,1319,2.2489010890792756,37.2289613343442
688189,南新制药,19,72688,1955,1.889719704031089,37.18056265984655
688469,中芯集成,9,32188,866,1.978241918855274,37.16859122401848
688408,中信博,12,45478,1224,2.010510061945468,37.15522875816993
688360,德马科技,18,68246,1838,2.384552045469914,37.130576713819366
688234,天岳先进,7,27186,733,2.0261742122305786,37.08867667121419
688129,东来技术,12,43425,1171,2.0477833648722585,37.083689154568745
688102,斯瑞新材,12,45493,1228,2.184415985469239,37.04641693811075
688031,星环科技,17,63372,1711,2.2698777639732794,37.037989479836355
688466,金科环境,12,46216,1249,2.2055571476277684,37.00240192153723
688345,博力威,14,50699,1371,2.1991311418069293,36.97957695113056
688696,极米科技,16,60073,1628,2.1647497312675865,36.89987714987715
688076,诺泰生物,22,81857,2221,2.2358126230709527,36.855920756416026
688316,青云科技,16,61764,1677,2.043347801139274,36.830053667262966
688050,爱博医疗,17,64772,1762,1.9995996635424362,36.760499432463114
688611,杭州柯林,10,36978,1006,2.281135753248257,36.75745526838966
688036,传音控股,19,72698,1981,2.4246964856234356,36.697627460878344
688191,智洋创新,14,53160,1450,2.255877490202828,36.66206896551724
688197,首药控股,11,39313,1073,2.1258070010348065,36.63839701770736
688193,仁度生物,15,57808,1578,2.4028232621857315,36.633713561470216
688093,世华科技,14,54167,1479,2.4645676044654308,36.624070317782284
688548,广钢气体,7,27605,754,2.0601732028155415,36.61140583554376
688128,中国电器,28,106327,2906,2.09126975925602,36.58878183069511
688207,格灵深瞳,8,29325,802,2.2994109233865507,36.56483790523691
688359,三孚新科,11,42520,1163,2.1062481559716875,36.56061908856406
688118,普元信息,13,47976,1313,2.1672000984449515,36.53922315308454
688335,复洁环保,13,50064,1371,2.0950315455123754,36.5164113785558
