Stkcd,Accper,StateTypeCode,A001,A002,A001219,code,Accper_dt,fin_year,B001101,B0011,B001201,B002,sec_code,sec_name,listing_year,revenue_target_year,pre_target_year,pre_year_gap,strict_lag1
688041,2020-12-31,A,9022075152.28,3445090903.49,287298753.02,688041,2020-12-31,2020,1021972813.24,1021972813.24,505867513.01,-82975170.53,688041,海光信息,2022.0,6011998991.03,2021.0,1.0,False
688041,2019-12-31,A,5694925479.85,2844134661.15,548291082.63,688041,2019-12-31,2019,379165118.93,379165118.93,237680941.96,-137359291.25,688041,海光信息,2022.0,6011998991.03,2021.0,2.0,False
688045,2021-12-31,A,564036065.08,112290447.38,,688045,2021-12-31,2021,886952757.31,886952757.31,503681129.77,237483434.45,688045,必易微,2022.0,578471063.67,2021.0,0.0,True
688045,2020-12-31,A,292670231.52,89080092.21,,688045,2020-12-31,2020,429485757.4,429485757.4,314500696.17,38322842.25,688045,必易微,2022.0,578471063.67,2021.0,1.0,False
688045,2019-12-31,A,185291824.54,76815815.79,,688045,2019-12-31,2019,348158879.77,348158879.77,271928588.95,21596627.77,688045,必易微,2022.0,578471063.67,2021.0,2.0,False
688046,2021-12-31,A,1054409220.49,268776176.29,,688046,2021-12-31,2021,393787165.43,393787165.43,101087123.82,124927462.62,688046,药康生物,2022.0,622186991.12,2021.0,0.0,True
688046,2020-12-31,A,883193233.71,225949564.06,,688046,2020-12-31,2020,261917139.6,261917139.6,73239276.93,76433477.66,688046,药康生物,2022.0,622186991.12,2021.0,1.0,False
688046,2019-12-31,A,388135394.2,147662011.06,,688046,2019-12-31,2019,192720597.35,192720597.35,63901538.49,34734105.33,688046,药康生物,2022.0,622186991.12,2021.0,2.0,False
688046,2018-12-31,A,104711773.65,76637295.84,,688046,2018-12-31,2018,53290606.37,53290606.37,16925058.74,-6035522.19,688046,药康生物,2022.0,622186991.12,2021.0,3.0,False
688047,2021-12-31,A,1989481163.55,597196573.67,27857629.89,688047,2021-12-31,2021,1201253983.94,1201253983.94,555622498.68,236804803.48,688047,龙芯中科,2022.0,505694383.12,2021.0,0.0,True
688047,2020-12-31,A,1656317315.97,526883466.87,51393256.61,688047,2020-12-31,2020,1082320993.24,1082320993.24,554933721.24,72237361.28,688047,龙芯中科,2022.0,505694383.12,2021.0,1.0,False
688047,2019-12-31,A,1179634755.65,291338584.57,6866613.06,688047,2019-12-31,2019,485629263.56,485629263.56,207414977.91,192288305.28,688047,龙芯中科,2022.0,505694383.12,2021.0,2.0,False
688048,2021-12-31,A,983354568.9,346012480.68,,688048,2021-12-31,2021,429088533.48,429088533.48,202456221.2,115316436.03,688048,长光华芯,2022.0,290210054.83,2021.0,0.0,True
688048,2020-12-31,A,737153839.72,230672512.59,,688048,2020-12-31,2020,247178554.02,247178554.02,169679320.57,26179062.01,688048,长光华芯,2022.0,290210054.83,2021.0,1.0,False
688048,2019-12-31,A,499208930.35,244912524.57,,688048,2019-12-31,2019,138510110.82,138510110.82,88603538.65,-128890178.73,688048,长光华芯,2022.0,290210054.83,2021.0,2.0,False
688048,2018-12-31,A,246653261.07,146412718.71,,688048,2018-12-31,2018,92434355.25,92434355.25,63804298.02,-14395737.14,688048,长光华芯,2022.0,290210054.83,2021.0,3.0,False
688049,2020-12-31,A,492622159.22,75449981.65,,688049,2020-12-31,2020,410416659.99,410416659.99,254579499.79,24088385.69,688049,炬芯科技,2021.0,414703877.23,2020.0,0.0,True
688049,2019-12-31,A,355682641.42,73565614.15,,688049,2019-12-31,2019,361207487.72,361207487.72,225669884.59,54559895.19,688049,炬芯科技,2021.0,414703877.23,2020.0,1.0,False
688049,2018-12-31,A,393731025.25,163985070.57,,688049,2018-12-31,2018,346094842.46,346094842.46,210459357.22,36025918.27,688049,炬芯科技,2021.0,414703877.23,2020.0,2.0,False
688050,2019-12-31,A,685780471.67,38255737.88,12036850.53,688050,2019-12-31,2019,195197500.62,195197500.62,27940568.13,65757224.38,688050,爱博医疗,2020.0,433070741.88,2019.0,0.0,True
