variant,year,rank,firm,rank_value
Underwriter_ipocsne_annual_grsprc_weighted,2020,8,招商证券股份有限公司,1426608.305
Underwriter_ipocsne_annual_grsprc_weighted,2020,9,民生证券股份有限公司,1206132.124
Underwriter_ipocsne_annual_grsprc_weighted,2020,10,光大证券股份有限公司,1123123.7717
Underwriter_ipocsne_annual_grsprc_weighted,2021,1,中信证券股份有限公司,8674239.511733333
Underwriter_ipocsne_annual_grsprc_weighted,2021,2,中信建投证券股份有限公司,4831888.167066666
Underwriter_ipocsne_annual_grsprc_weighted,2021,3,中国国际金融股份有限公司,4354491.1565166665
Underwriter_ipocsne_annual_grsprc_weighted,2021,4,华泰联合证券有限责任公司,3914303.7480666665
Underwriter_ipocsne_annual_grsprc_weighted,2021,5,海通证券股份有限公司,3177538.53545
Underwriter_ipocsne_annual_grsprc_weighted,2021,6,国泰君安证券股份有限公司,2973781.14265
Underwriter_ipocsne_annual_grsprc_weighted,2021,7,招商证券股份有限公司,2533303.2812333335
Underwriter_ipocsne_annual_grsprc_weighted,2021,8,民生证券股份有限公司,1751494.6343999999
Underwriter_ipocsne_annual_grsprc_weighted,2021,9,光大证券股份有限公司,1503368.4980000001
Underwriter_ipocsne_annual_grsprc_weighted,2021,10,国信证券股份有限公司,1348843.8694
Underwriter_ipocsne_annual_grsprc_weighted,2022,1,中信证券股份有限公司,11442126.72095
Underwriter_ipocsne_annual_grsprc_weighted,2022,2,中国国际金融股份有限公司,6471074.2795
Underwriter_ipocsne_annual_grsprc_weighted,2022,3,中信建投证券股份有限公司,5706678.37015
Underwriter_ipocsne_annual_grsprc_weighted,2022,4,海通证券股份有限公司,4136651.581516667
Underwriter_ipocsne_annual_grsprc_weighted,2022,5,华泰联合证券有限责任公司,3935771.10205
Underwriter_ipocsne_annual_grsprc_weighted,2022,6,国泰君安证券股份有限公司,3093643.99845
Underwriter_ipocsne_annual_grsprc_weighted,2022,7,中银国际证券股份有限公司,1747590.0999999999
Underwriter_ipocsne_annual_grsprc_weighted,2022,8,招商证券股份有限公司,1726679.3631999998
Underwriter_ipocsne_annual_grsprc_weighted,2022,9,民生证券股份有限公司,1509953.6923500001
Underwriter_ipocsne_annual_grsprc_weighted,2022,10,国信证券股份有限公司,1383490.8086
Underwriter_ipocsne_annual_grsprc_weighted,2023,1,中信证券股份有限公司,4876679.442583334
Underwriter_ipocsne_annual_grsprc_weighted,2023,2,中信建投证券股份有限公司,3936030.03095
Underwriter_ipocsne_annual_grsprc_weighted,2023,3,海通证券股份有限公司,3121110.318433333
Underwriter_ipocsne_annual_grsprc_weighted,2023,4,中国国际金融股份有限公司,3035799.7216666667
Underwriter_ipocsne_annual_grsprc_weighted,2023,5,国泰君安证券股份有限公司,2347408.0063333334
Underwriter_ipocsne_annual_grsprc_weighted,2023,6,华泰联合证券有限责任公司,2010643.0115333335
Underwriter_ipocsne_annual_grsprc_weighted,2023,7,民生证券股份有限公司,1975095.9100000001
Underwriter_ipocsne_annual_grsprc_weighted,2023,8,东方证券承销保荐有限公司,989026.7133333334
Underwriter_ipocsne_annual_grsprc_weighted,2023,9,兴业证券股份有限公司,906873.48
Underwriter_ipocsne_annual_grsprc_weighted,2023,10,国信证券股份有限公司,855925.9
