sec_code,sec_name,chunk_n,shard,year
688793,倍轻松,19,1,2021
688800,瑞可达,15,1,2021
688004,博汇科技,18,2,2020
688023,安恒信息,20,2,2019
688030,山石网科,22,2,2019
688032,禾迈股份,14,2,2021
688046,药康生物,14,2,2022
688051,佳华科技,20,2,2020
688059,华锐精密,11,2,2021
688062,迈威生物,19,2,2022
688071,华依科技,18,2,2021
688072,拓荆科技,8,2,2022
688089,嘉必优,16,2,2019
688093,世华科技,17,2,2020
688095,福昕软件,12,2,2020
688109,品茗股份,15,2,2021
688114,华大智造,10,2,2022
688115,思林杰,13,2,2022
688116,天奈科技,14,2,2019
688117,圣诺生物,20,2,2021
688143,长盈通,18,2,2022
688146,中船特气,16,2,2023
688147,微导纳米,11,2,2022
688148,芳源股份,13,2,2021
688158,优刻得,22,2,2020
688160,步科股份,12,2,2020
688163,赛伦生物,15,2,2022
688169,石头科技,17,2,2020
688176,亚虹医药,19,2,2021
688180,君实生物,23,2,2020
688182,灿勤科技,14,2,2021
688183,生益电子,24,2,2021
688196,卓越新能,25,2,2019
688201,信安世纪,16,2,2021
688209,英集芯,13,2,2022
688220,翱捷科技,18,2,2022
688225,亚信安全,16,2,2022
688226,威腾电气,23,2,2021
688230,芯导科技,11,2,2021
688233,神工股份,9,2,2020
688238,和元生物,12,2,2022
688247,宣泰医药,19,2,2022
688249,晶合集成,10,2,2023
688259,创耀科技,18,2,2022
688268,华特气体,21,2,2019
688282,理工导航,14,2,2022
688285,高铁电气,15,2,2021
688286,敏芯股份,12,2,2020
688305,科德数控,20,2,2021
688306,均普智能,16,2,2022
688308,欧科亿,14,2,2020
688317,之江生物,26,2,2021
688321,微芯生物,19,2,2019
688325,赛微微电,8,2,2022
688330,宏力达,18,2,2020
688332,中科蓝讯,12,2,2022
688345,博力威,17,2,2021
688351,微电生理,13,2,2022
688359,三孚新科,15,2,2021
688367,工大高科,16,2,2021
688370,丛麟科技,17,2,2022
688371,菲沃泰,14,2,2022
688387,信科移动,21,2,2022
688393,安必平,20,2,2020
688399,硕世生物,23,2,2019
688400,凌云光,17,2,2022
688401,路维光电,13,2,2022
688403,汇成股份,10,2,2022
688420,美腾科技,15,2,2022
688432,有研硅,12,2,2022
688443,智翔金泰,16,2,2023
688455,科捷智能,18,2,2022
688479,友车科技,8,2,2023
688484,南芯科技,9,2,2023
688485,九州一轨,15,2,2023
688488,艾迪药业,17,2,2020
688498,源杰科技,11,2,2022
688509,正元地信,18,2,2021
688512,慧智微,12,2,2023
688516,奥特维,28,2,2020
688528,秦川物联,27,2,2020
688531,日联科技,14,2,2023
688535,华海诚科,16,2,2023
688549,中巨芯,13,2,2023
688558,国盛智科,22,2,2020
688565,力源科技,14,2,2021
688566,吉贝尔,25,2,2020
688576,西山科技,21,2,2023
688579,山大地纬,15,2,2020
688582,芯动联科,11,2,2023
688585,上纬新材,20,2,2020
688597,煜邦电力,19,2,2021
688598,金博股份,12,2,2020
688601,力芯微,9,2,2021
688602,康鹏科技,17,2,2023
688613,奥精医疗,16,2,2021
688617,惠泰医疗,24,2,2021
688625,呈和科技,13,2,2021
688627,精智达,10,2,2023
688629,华丰科技,14,2,2023
688648,中邮科技,11,2,2023
688662,富信科技,18,2,2021
688663,新风光,13,2,2021
688671,碧兴物联,14,2,2023
688676,金盘科技,20,2,2021
688681,科汇股份,15,2,2021
688682,霍莱沃,12,2,2021
688683,莱尔科技,16,2,2021
688718,唯赛勃,17,2,2021
688722,同益中,11,2,2021
688733,壹石通,14,2,2021
688739,成大生物,15,2,2021
688778,厦钨新能,16,2,2021
688013,天臣医疗,18,3,2020
688026,洁特生物,24,3,2020
688027,国盾量子,20,3,2020
688039,当虹科技,15,3,2019
688053,思科瑞,14,3,2022
688058,宝兰德,22,3,2019
688063,派能科技,15,3,2020
688069,德林海,20,3,2020
688075,安旭生物,19,3,2021
688090,瑞松科技,24,3,2020
688091,上海谊众,11,3,2021
688102,斯瑞新材,16,3,2022
688103,国力股份,17,3,2021
688106,金宏气体,18,3,2020
688113,联测科技,15,3,2021
688120,华海清科,13,3,2022
688126,沪硅产业,12,3,2020
688127,蓝特光学,14,3,2020
688130,晶华微,10,3,2022
688153,唯捷创芯,8,3,2022
688161,威高骨科,22,3,2021
688162,巨一科技,16,3,2021
688168,安博通,11,3,2019
688171,纬德信息,13,3,2022
688173,希荻微,15,3,2022
688179,阿拉丁,20,3,2020
688185,康希诺,19,3,2020
688187,时代电气,18,3,2021
688190,云路股份,14,3,2021
688192,迪哲医药,17,3,2021
688200,华峰测控,12,3,2020
