sec_code,sec_name,chunk_n,text_sum,summary_sum,relevant_score_mean,cap_applied_n,red_chunk_mean,candidate,Redundancy_diag,lnN_tech_diag
688070,纵横股份,20,78149.0,2647.0,2.2276451427976927,3,31.513132700505103,tailmerge1700_score18_cap80,29.52361163581413,11.266372539862443
688071,华依科技,17,66704.0,2037.0,2.191548949220541,4,37.82507644010997,tailmerge1700_score18_cap80,32.74619538537064,11.108020200120578
688072,拓荆科技,7,29076.0,957.0,2.133393397999654,1,33.44388718019497,tailmerge1700_score18_cap80,30.38244514106583,10.277668370604527
688073,毕得医药,18,68729.0,2269.0,2.301159596873524,3,32.25912786833614,tailmerge1700_score18_cap80,30.290436315557514,11.137926514322622
688075,安旭生物,18,71788.0,2319.0,2.315483627082986,2,32.86689699091221,tailmerge1700_score18_cap80,30.956446744286332,11.181472610149168
688076,诺泰生物,26,102800.0,3299.0,2.296654618919116,4,33.97093890711772,tailmerge1700_score18_cap80,31.160957866020006,11.540540632003202
688077,大地熊,12,47357.0,1662.0,2.324972355284126,2,31.924143938546703,tailmerge1700_score18_cap80,28.49398315282792,10.765469922956939
688078,龙软科技,22,84630.0,3359.0,2.236145134833245,1,26.21879453895381,tailmerge1700_score18_cap80,25.194998511461744,11.346044092664151
688079,美迪凯,12,46106.0,1524.0,2.304183858565824,2,32.43146294345294,tailmerge1700_score18_cap80,30.253280839895012,10.738698372359542
688080,映翰通,15,56895.0,2036.0,2.3619515951382866,1,28.80417379537251,tailmerge1700_score18_cap80,27.94449901768173,10.948962742791108
688081,兴图新科,18,70886.0,2243.0,2.424159091572476,3,35.769029185345836,tailmerge1700_score18_cap80,31.603209986625057,11.168828231809211
688082,盛美上海,13,51044.0,1864.0,2.2635004835678076,3,30.351786831223404,tailmerge1700_score18_cap80,27.38412017167382,10.840443284853867
688083,中望软件,21,80901.0,2764.0,2.5935319542963153,2,31.131004033059508,tailmerge1700_score18_cap80,29.269536903039075,11.300981463909618
688084,晶品特装,15,58238.0,1753.0,2.07261760341323,2,36.74939240878849,tailmerge1700_score18_cap80,33.2219053051911,10.972293341621572
688085,三友医疗,23,91293.0,2996.0,2.273667263572656,4,33.56985536516621,tailmerge1700_score18_cap80,30.47162883845127,11.421829393326107
688086,紫晶存储,26,99312.0,3838.0,2.497286894768635,1,27.235024914183192,tailmerge1700_score18_cap80,25.87597707139135,11.506021688653433
688087,英科再生,14,54919.0,1762.0,2.1727685725853476,3,34.4059395057678,tailmerge1700_score18_cap80,31.16855845629966,10.913614651413148
688088,虹软科技,16,61725.0,1747.0,2.2871177644858007,1,36.944869229043455,tailmerge1700_score18_cap80,35.33199771036062,11.03044431421338
688089,嘉必优,16,62300.0,1922.0,2.047552224078928,5,35.050212662345466,tailmerge1700_score18_cap80,32.414151925078045,11.039716704775545
688090,瑞松科技,23,90269.0,2978.0,2.460555545103335,5,32.62821094128556,tailmerge1700_score18_cap80,30.311954331766287,11.410549380353363
688091,上海谊众,11,41179.0,1225.0,2.08900488532537,3,35.88430920405921,tailmerge1700_score18_cap80,33.61551020408163,10.625683696654097
688092,爱科科技,16,63026.0,2006.0,2.36366403296656,3,34.675438740312984,tailmerge1700_score18_cap80,31.41874376869392,11.051302618649801
688093,世华科技,16,63993.0,2094.0,2.266008770629018,3,32.80055846124176,tailmerge1700_score18_cap80,30.560171919770774,11.066528981359927
688095,福昕软件,12,45244.0,1602.0,2.1409324368943925,2,30.01217008226672,tailmerge1700_score18_cap80,28.242197253433208,10.719825343651271
688096,京源环保,19,75301.0,2535.0,2.289871801052828,2,31.507002179036697,tailmerge1700_score18_cap80,29.704536489151874,11.229248693912288
688097,博众精工,19,76433.0,2735.0,2.2500014828435573,2,29.823204146410465,tailmerge1700_score18_cap80,27.946252285191957,11.244169819069379
688098,申联生物,14,52823.0,1824.0,2.3035005860943736,2,31.037473595518087,tailmerge1700_score18_cap80,28.95997807017544,10.874701980906183
688099,晶晨股份,10,37830.0,1369.0,2.3064727717729334,1,29.00654315010299,tailmerge1700_score18_cap80,27.633308984660335,10.540857717627075
688100,威胜信息,22,87624.0,3287.0,2.37437116556471,2,30.785133923501732,tailmerge1700_score18_cap80,26.657742622452083,11.380810212003583
688101,三达膜,19,73296.0,2410.0,2.4057958405177318,3,32.33800311978458,tailmerge1700_score18_cap80,30.413278008298754,11.202261316126524
688102,斯瑞新材,16,60634.0,1948.0,2.4578523411463395,4,34.429106713708485,tailmerge1700_score18_cap80,31.126283367556468,11.012611070829886
688103,国力股份,16,64270.0,2205.0,2.467797119731472,1,30.699077555596503,tailmerge1700_score18_cap80,29.14739229024943,11.070848238365333
688105,诺唯赞,17,66099.0,1933.0,2.392575268805866,4,38.82504495374848,tailmerge1700_score18_cap80,34.19503362648732,11.098908897132299
688106,金宏气体,17,68111.0,2422.0,2.259136547745476,4,31.35562927661378,tailmerge1700_score18_cap80,28.121800165152766,11.128894006259427
688107,安路科技,9,36455.0,1184.0,2.13746655805012,2,35.25968750216328,tailmerge1700_score18_cap80,30.789695945945947,10.503833902240531
688108,赛诺医疗,21,80927.0,2646.0,2.2354815218487363,2,32.01391411684275,tailmerge1700_score18_cap80,30.584656084656086,11.301302792730635
688109,品茗股份,15,58262.0,1947.0,2.200137298495357,3,32.75722829696997,tailmerge1700_score18_cap80,29.923985618900872,10.972705358794784
688110,东芯股份,11,41180.0,1436.0,2.2942917123720865,2,31.017421958361126,tailmerge1700_score18_cap80,28.676880222841227,10.62570798058178
688111,金山办公,22,85327.0,2590.0,2.6716700001789744,1,37.47274617158701,tailmerge1700_score18_cap80,32.944787644787645,11.354246213289242
688112,鼎阳科技,17,66301.0,2283.0,2.263204724659939,4,32.63397058984679,tailmerge1700_score18_cap80,29.041173893999122,11.101960259016467
688113,联测科技,15,57477.0,1836.0,2.4021535896509905,2,33.06977093585141,tailmerge1700_score18_cap80,31.305555555555557,10.959140146764103
688114,华大智造,9,35941.0,1425.0,2.412213123567452,1,27.508565997806972,tailmerge1700_score18_cap80,25.221754385964914,10.489633984101829
688115,思林杰,13,51374.0,1886.0,2.418112977158612,1,28.333322116743908,tailmerge1700_score18_cap80,27.23966065747614,10.846887486888901
688116,天奈科技,14,53625.0,1741.0,2.3020939197597703,1,32.73807883445908,tailmerge1700_score18_cap80,30.801263641585297,10.889770656230318
688117,圣诺生物,20,75919.0,2283.0,2.1291523839988415,5,36.1348873857809,tailmerge1700_score18_cap80,33.25405168637757,11.237422261437313
688118,普元信息,15,59073.0,1908.0,2.638754694138596,1,33.69844081560585,tailmerge1700_score18_cap80,30.96069182389937,10.98652924621328
688119,中钢洛耐,16,63072.0,2144.0,2.3809070769823624,1,30.888488151350177,tailmerge1700_score18_cap80,29.417910447761194,11.052032209952447
688120,华海清科,12,47362.0,1514.0,1.8698509073427285,5,35.27908109873605,tailmerge1700_score18_cap80,31.282694848084546,10.765575498395966
688121,卓然股份,16,61344.0,1797.0,2.1356226282845374,2,35.894633854961555,tailmerge1700_score18_cap80,34.136894824707845,11.02425264584537
688122,西部超导,16,63240.0,1572.0,2.006365819626472,7,42.07329948542058,tailmerge1700_score18_cap80,40.229007633587784,11.05469229132341
688123,聚辰股份,19,72690.0,2479.0,2.340315114345462,3,30.975372792673863,tailmerge1700_score18_cap80,29.322307382008873,11.193959102478681
688125,安达智能,13,50295.0,1789.0,2.207910981203056,1,29.54801095917585,tailmerge1700_score18_cap80,28.11347121296814,10.825660947568439
688126,沪硅产业,12,46090.0,1475.0,2.0230019830278416,5,34.937712476048524,tailmerge1700_score18_cap80,31.247457627118646,10.738351285714554
688127,蓝特光学,14,53417.0,1912.0,2.4647598439533986,2,29.556574408838234,tailmerge1700_score18_cap80,27.93776150627615,10.885884326344947
688128,中国电器,33,129845.0,4159.0,2.4065023391946245,5,33.90292085876416,tailmerge1700_score18_cap80,31.220245251262323,11.774096710381096
688129,东来技术,14,55446.0,1888.0,2.231373492706965,2,31.493125658774733,tailmerge1700_score18_cap80,29.367584745762713,10.923164853116095
688130,晶华微,9,35975.0,1318.0,2.216366489045774,1,29.957028330552948,tailmerge1700_score18_cap80,27.29514415781487,10.490579531755568
688131,皓元医药,25,97034.0,2935.0,2.2005070774336617,5,34.57641021702239,tailmerge1700_score18_cap80,33.06098807495741,11.482816711533243
688132,邦彦技术,14,53677.0,1857.0,2.2702477799166556,1,30.300038526755277,tailmerge1700_score18_cap80,28.905223478729134,10.890739883347626
688133,泰坦科技,13,51860.0,1564.0,2.1700179282581944,4,35.964807728036554,tailmerge1700_score18_cap80,33.15856777493606,10.856303059092655
688135,利扬芯片,12,48241.0,1790.0,2.304359639865252,2,29.589140640262908,tailmerge1700_score18_cap80,26.95027932960894,10.78396456087112
688136,科兴制药,18,68097.0,2012.0,1.9816164860526213,6,36.146576348530125,tailmerge1700_score18_cap80,33.84542743538768,11.128688438303811
688137,近岸蛋白,16,61983.0,1967.0,2.3429247105044873,3,33.57964858323339,tailmerge1700_score18_cap80,31.511438739196745,11.034615432880917
688138,清溢光电,13,50045.0,1738.0,2.3291299668996492,2,31.973399077063544,tailmerge1700_score18_cap80,28.794591484464902,10.82067787965312
688139,海尔生物,12,46766.0,1574.0,2.331569039204344,3,32.17947040232486,tailmerge1700_score18_cap80,29.71156289707751,10.752911722153339
