sec_code,sec_name,chunk_n,text_sum,summary_sum,relevant_score_mean,cap_applied_n,red_chunk_mean,candidate,Redundancy_diag,lnN_tech_diag
688356,键凯科技,14,54520.0,1885.0,2.11196901577133,2,30.376615228677597,tailmerge1700_highshare10_cap80,28.923076923076923,10.90632288581047
688357,建龙微纳,17,65810.0,2433.0,2.483296328200823,1,28.12563024811773,tailmerge1700_highshare10_cap80,27.048910809699958,11.094527081450165
688358,祥生医疗,16,61669.0,2156.0,2.6796695229550114,3,31.626382499994858,tailmerge1700_highshare10_cap80,28.60343228200371,11.029536652514357
688359,三孚新科,14,55970.0,1840.0,2.233792257912003,3,33.576313411702834,tailmerge1700_highshare10_cap80,30.418478260869566,10.932571111885405
688360,德马科技,22,85035.0,3125.0,2.4758824191521076,1,28.941871554962916,tailmerge1700_highshare10_cap80,27.2112,11.350818215426514
688361,中科飞测,8,31037.0,1029.0,2.136474617702475,1,31.807242061314472,tailmerge1700_highshare10_cap80,30.1622934888241,10.342935320141757
688362,甬矽电子,12,45480.0,1837.0,2.643230551225138,0,25.375560302115428,tailmerge1700_highshare10_cap80,24.757757212847032,10.725027947864472
688363,华熙生物,23,92253.0,3181.0,2.2968898963375435,5,32.090619833586594,tailmerge1700_highshare10_cap80,29.001257466205594,11.432290081699202
688365,光云科技,13,49213.0,1723.0,2.049552522325823,3,33.067032252531384,tailmerge1700_highshare10_cap80,28.5623911781776,10.8039130952207
688366,昊海生科,28,108331.0,3539.0,2.281842050498619,9,34.46468339572204,tailmerge1700_highshare10_cap80,30.610624470189318,11.59294663395027
688367,工大高科,16,60168.0,2207.0,2.683776867876934,2,29.279844907452492,tailmerge1700_highshare10_cap80,27.262347077480744,11.004895928506238
688368,晶丰明源,16,62901.0,1978.0,2.351288230580657,1,33.129649509140364,tailmerge1700_highshare10_cap80,31.80030333670374,11.049317340813348
688369,致远互联,14,54337.0,1830.0,2.222405575266754,2,31.656941918126943,tailmerge1700_highshare10_cap80,29.692349726775955,10.90296067350638
688370,丛麟科技,17,65835.0,1897.0,2.307016612220769,4,37.649817301543656,tailmerge1700_highshare10_cap80,34.70479704797048,11.094906890790444
688371,菲沃泰,13,52124.0,1652.0,2.133234974149547,2,33.59588712815953,tailmerge1700_highshare10_cap80,31.552058111380145,10.861380774264797
688372,伟测科技,11,40436.0,1354.0,2.2619656822057728,2,32.227173250000966,tailmerge1700_highshare10_cap80,29.86410635155096,10.607475756273947
688373,盟科药业,16,63158.0,1698.0,2.007855328585271,5,40.39853291756171,tailmerge1700_highshare10_cap80,37.19552414605418,11.053394802257065
688375,国博电子,12,46574.0,1456.0,2.2943443706665927,3,34.92981007784564,tailmerge1700_highshare10_cap80,31.98763736263736,10.748797724493182
688376,美埃科技,2,6622.0,267.0,2.1294117647058823,0,24.716603053435115,tailmerge1700_highshare10_cap80,24.801498127340825,8.798152718107191
688377,迪威尔,21,79213.0,2603.0,2.239283124636337,4,32.41196921907723,tailmerge1700_highshare10_cap80,30.431425278524777,11.279895705746931
688378,奥来德,13,48075.0,1707.0,2.285971852558979,1,29.4703702025104,tailmerge1700_highshare10_cap80,28.163444639718804,10.780517570456981
688379,华光新材,15,60103.0,1988.0,2.3024618621246074,1,31.70334355844318,tailmerge1700_highshare10_cap80,30.232897384305836,11.003815036082822
688380,中微半导,9,34489.0,1063.0,2.26023927481023,2,34.318368147255164,tailmerge1700_highshare10_cap80,32.444967074317965,10.448395711599277
